# |k-kM|_invAngstrom    Wk_weight
7.052195e-01 1.149506e-08
6.821174e-01 1.325701e-08
6.598818e-01 1.607452e-08
6.386034e-01 2.029860e-08
6.183810e-01 2.654466e-08
5.993213e-01 3.588721e-08
5.815389e-01 5.018777e-08
5.651542e-01 7.277597e-08
5.502922e-01 1.097957e-07
5.370792e-01 1.725862e-07
5.256396e-01 2.811105e-07
5.160914e-01 4.663969e-07
5.085410e-01 7.634061e-07
5.030786e-01 1.173922e-06
4.997724e-01 1.589249e-06
4.986655e-01 1.775071e-06
4.997724e-01 1.589075e-06
5.030786e-01 1.173634e-06
5.085410e-01 7.630764e-07
5.160914e-01 4.660701e-07
5.256396e-01 2.808024e-07
5.370792e-01 1.722967e-07
5.502922e-01 1.095190e-07
5.651542e-01 7.250561e-08
5.815389e-01 4.991764e-08
5.993213e-01 3.561116e-08
6.183810e-01 2.625422e-08
6.386034e-01 1.997912e-08
6.598818e-01 1.569514e-08
6.821174e-01 1.272354e-08
6.821174e-01 1.325701e-08
6.582049e-01 1.552519e-08
6.351327e-01 1.901949e-08
6.129958e-01 2.418613e-08
5.918991e-01 3.176039e-08
5.719577e-01 4.299342e-08
5.532965e-01 6.002091e-08
5.360493e-01 8.662744e-08
5.203566e-01 1.297553e-07
5.063631e-01 2.021451e-07
4.942130e-01 3.260735e-07
4.840453e-01 5.359178e-07
4.759869e-01 8.701367e-07
4.701463e-01 1.330181e-06
4.666069e-01 1.794694e-06
4.654211e-01 2.002392e-06
4.666069e-01 1.794495e-06
4.701463e-01 1.329849e-06
4.759869e-01 8.697540e-07
4.840453e-01 5.355349e-07
4.942130e-01 3.257086e-07
5.063631e-01 2.017988e-07
5.203566e-01 1.294210e-07
5.360493e-01 8.629754e-08
5.532965e-01 5.968799e-08
5.719577e-01 4.264955e-08
5.918991e-01 3.139417e-08
6.129958e-01 2.377725e-08
6.351327e-01 1.852456e-08
6.582049e-01 1.481868e-08
6.598818e-01 1.607452e-08
6.351327e-01 1.901949e-08
6.111902e-01 2.351092e-08
5.881529e-01 3.011420e-08
5.661312e-01 3.975874e-08
5.452482e-01 5.401268e-08
5.256396e-01 7.553195e-08
5.074532e-01 1.089983e-07
4.908472e-01 1.629932e-07
4.759869e-01 2.533083e-07
4.630404e-01 4.076812e-07
4.521723e-01 6.692217e-07
4.435352e-01 1.086868e-06
4.372614e-01 1.664209e-06
4.334535e-01 2.249934e-06
4.321768e-01 2.512678e-06
4.334535e-01 2.249691e-06
4.372614e-01 1.663804e-06
4.435352e-01 1.086400e-06
4.521723e-01 6.687520e-07
4.630404e-01 4.072315e-07
4.759869e-01 2.528792e-07
4.908472e-01 1.625768e-07
5.074532e-01 1.085852e-07
5.256396e-01 7.511281e-08
5.452482e-01 5.357741e-08
5.661312e-01 3.929265e-08
5.881529e-01 2.959148e-08
6.111902e-01 2.287818e-08
6.351327e-01 1.812986e-08
6.386034e-01 2.029860e-08
6.129958e-01 2.418613e-08
5.881529e-01 3.011420e-08
5.641756e-01 3.882516e-08
5.411791e-01 5.155121e-08
5.192936e-01 7.037668e-08
4.986655e-01 9.882938e-08
4.794571e-01 1.431191e-07
4.618455e-01 2.146577e-07
4.460200e-01 3.346226e-07
4.321768e-01 5.406911e-07
4.205117e-01 8.924665e-07
4.112101e-01 1.459756e-06
4.044352e-01 2.252790e-06
4.003152e-01 3.065882e-06
3.989324e-01 3.433068e-06
4.003152e-01 3.065569e-06
4.044352e-01 2.252271e-06
4.112101e-01 1.459159e-06
4.205117e-01 8.918671e-07
4.321768e-01 5.401173e-07
4.460200e-01 3.340745e-07
4.618455e-01 2.141250e-07
4.794571e-01 1.425898e-07
4.986655e-01 9.829167e-08
5.192936e-01 6.981741e-08
5.411791e-01 5.095160e-08
5.641756e-01 3.815300e-08
5.881529e-01 2.930459e-08
6.129958e-01 2.306289e-08
6.183810e-01 2.654466e-08
5.918991e-01 3.176039e-08
5.661312e-01 3.975874e-08
5.411791e-01 5.155121e-08
5.171610e-01 6.884130e-08
4.942130e-01 9.453840e-08
4.724912e-01 1.335938e-07
4.521723e-01 1.947409e-07
4.334535e-01 2.941106e-07
4.165507e-01 4.620221e-07
4.016932e-01 7.534834e-07
3.891153e-01 1.257855e-06
3.790441e-01 2.084565e-06
3.716833e-01 3.260823e-06
3.671960e-01 4.486542e-06
3.656880e-01 5.045715e-06
3.671960e-01 4.486121e-06
3.716833e-01 3.260127e-06
3.790441e-01 2.083770e-06
3.891153e-01 1.257062e-06
4.016932e-01 7.527278e-07
4.165507e-01 4.613024e-07
4.334535e-01 2.934127e-07
4.521723e-01 1.940487e-07
4.724912e-01 1.328917e-07
4.942130e-01 9.380885e-08
5.171610e-01 6.805966e-08
5.411791e-01 5.067630e-08
5.661312e-01 3.870912e-08
5.918991e-01 3.031563e-08
5.993213e-01 3.588721e-08
5.719577e-01 4.299342e-08
5.452482e-01 5.401268e-08
5.192936e-01 7.037668e-08
4.942130e-01 9.453840e-08
4.701463e-01 1.307485e-07
4.472572e-01 1.863209e-07
4.257356e-01 2.742273e-07
4.057992e-01 4.185826e-07
3.876926e-01 6.654379e-07
3.716833e-01 1.100515e-06
3.580528e-01 1.867987e-06
3.470814e-01 3.154559e-06
3.390273e-01 5.029971e-06
3.341018e-01 7.028121e-06
3.324437e-01 7.952438e-06
3.341018e-01 7.027523e-06
3.390273e-01 5.028996e-06
3.470814e-01 3.153458e-06
3.580528e-01 1.866901e-06
3.716833e-01 1.099488e-06
3.876926e-01 6.644662e-07
4.057992e-01 4.176455e-07
4.257356e-01 2.733026e-07
4.472572e-01 1.853869e-07
4.701463e-01 1.297808e-07
4.942130e-01 9.350303e-08
5.192936e-01 6.921847e-08
5.452482e-01 5.262467e-08
5.719577e-01 4.108737e-08
5.815389e-01 5.018777e-08
5.532965e-01 6.002091e-08
5.256396e-01 7.553195e-08
4.986655e-01 9.882938e-08
4.724912e-01 1.335938e-07
4.472572e-01 1.863209e-07
4.231317e-01 2.683836e-07
4.003152e-01 4.001722e-07
3.790441e-01 6.198831e-07
3.595928e-01 1.001695e-06
3.422717e-01 1.687981e-06
3.274190e-01 2.928672e-06
3.153838e-01 5.069678e-06
3.064979e-01 8.290288e-06
3.010405e-01 1.182291e-05
2.991993e-01 1.348724e-05
3.010405e-01 1.182202e-05
3.064979e-01 8.288853e-06
3.153838e-01 5.068087e-06
3.274190e-01 2.927127e-06
3.422717e-01 1.686538e-06
3.595928e-01 1.000343e-06
3.790441e-01 6.185924e-07
4.003152e-01 3.989097e-07
4.231317e-01 2.671175e-07
4.472572e-01 1.850149e-07
4.724912e-01 1.321984e-07
4.986655e-01 9.726655e-08
5.256396e-01 7.365377e-08
5.532965e-01 5.743208e-08
5.651542e-01 7.277597e-08
5.360493e-01 8.662744e-08
5.074532e-01 1.089983e-07
4.794571e-01 1.431191e-07
4.521723e-01 1.947409e-07
4.257356e-01 2.742273e-07
4.003152e-01 4.001722e-07
3.761171e-01 6.066097e-07
3.533925e-01 9.581280e-07
3.324437e-01 1.582237e-06
3.136267e-01 2.731849e-06
2.973467e-01 4.873969e-06
2.840400e-01 8.706994e-06
2.741401e-01 1.470863e-05
2.680247e-01 2.154390e-05
2.659549e-01 2.484192e-05
2.680247e-01 2.154248e-05
2.741401e-01 1.470640e-05
2.840400e-01 8.704581e-06
2.973467e-01 4.871675e-06
3.136267e-01 2.729745e-06
3.324437e-01 1.580297e-06
3.533925e-01 9.563028e-07
3.761171e-01 6.048484e-07
4.003152e-01 3.984245e-07
4.257356e-01 2.724350e-07
4.521723e-01 1.928278e-07
4.794571e-01 1.409693e-07
5.074532e-01 1.063963e-07
5.360493e-01 8.300292e-08
5.502922e-01 1.097957e-07
5.203566e-01 1.297553e-07
4.908472e-01 1.629932e-07
4.618455e-01 2.146577e-07
4.334535e-01 2.941106e-07
4.057992e-01 4.185826e-07
3.790441e-01 6.198831e-07
3.533925e-01 9.581280e-07
3.291024e-01 1.550506e-06
3.064979e-01 2.633556e-06
2.859789e-01 4.692465e-06
2.680247e-01 8.675379e-06
2.531816e-01 1.613314e-05
2.420226e-01 2.842580e-05
2.350732e-01 4.312980e-05
2.327106e-01 5.045105e-05
2.350732e-01 4.312738e-05
2.420226e-01 2.842210e-05
2.531816e-01 1.612927e-05
2.680247e-01 8.671806e-06
2.859789e-01 4.689272e-06
3.064979e-01 2.630681e-06
3.291024e-01 1.547860e-06
3.533925e-01 9.556228e-07
3.790441e-01 6.174302e-07
4.057992e-01 4.160845e-07
4.334535e-01 2.914459e-07
4.618455e-01 2.116478e-07
4.908472e-01 1.593099e-07
5.203566e-01 1.245368e-07
5.370792e-01 1.725862e-07
5.063631e-01 2.021451e-07
4.759869e-01 2.533083e-07
4.460200e-01 3.346226e-07
4.165507e-01 4.620221e-07
3.876926e-01 6.654379e-07
3.595928e-01 1.001695e-06
3.324437e-01 1.582237e-06
3.064979e-01 2.633556e-06
2.820878e-01 4.631132e-06
2.596468e-01 8.592466e-06
2.397285e-01 1.663693e-05
2.230100e-01 3.260941e-05
2.102558e-01 6.078177e-05
2.022176e-01 9.677660e-05
1.994662e-01 1.154809e-04
2.022176e-01 9.677205e-05
2.102558e-01 6.077512e-05
2.230100e-01 3.260278e-05
2.397285e-01 1.663106e-05
2.596468e-01 8.587418e-06
2.820878e-01 4.626741e-06
3.064979e-01 2.629634e-06
3.324437e-01 1.578609e-06
3.595928e-01 9.981974e-07
3.876926e-01 6.619051e-07
4.165507e-01 4.582588e-07
4.460200e-01 3.303486e-07
4.759869e-01 2.480109e-07
5.063631e-01 1.944801e-07
5.256396e-01 2.811105e-07
4.942130e-01 3.260735e-07
4.630404e-01 4.076812e-07
4.321768e-01 5.406911e-07
4.016932e-01 7.534834e-07
3.716833e-01 1.100515e-06
3.422717e-01 1.687981e-06
3.136267e-01 2.731849e-06
2.859789e-01 4.692465e-06
2.596468e-01 8.592466e-06
2.350732e-01 1.676401e-05
2.128678e-01 3.448010e-05
1.938463e-01 7.257246e-05
1.790264e-01 1.463435e-04
1.695137e-01 2.497508e-04
1.662218e-01 3.068586e-04
1.695137e-01 2.497412e-04
1.790264e-01 1.463303e-04
1.938463e-01 7.256021e-05
2.128678e-01 3.446993e-05
2.350732e-01 1.675571e-05
2.596468e-01 8.585572e-06
2.859789e-01 4.686527e-06
3.136267e-01 2.726502e-06
3.422717e-01 1.682919e-06
3.716833e-01 1.095458e-06
