# run: n=3, Nk=30, M-point grid (include_M=True), nv=nc=2, raw BSE, state=0
# TB: hoppings x0.70, eps_Bp=1.508, eps0(BSE)=2.80 ; Eg=2.1783 eV, Eb=183.0 meV
# model: W(k) = 2*pi*a0^2 / (1 + a0^2 k^2/4)^3 / (Nk^2 a^2)   [normalized, sum_k W=1]
# --- fit results ---
# a0_linear = 32.7038 A   a_BZ=a0/2 = 16.3519 A   r=sqrt(3/2)a_BZ = 20.0269 A
# a0_log    = 41.3537 A   a_BZ=a0/2 = 20.6768 A   r=sqrt(3/2)a_BZ = 25.3239 A
# a0_peak   = 32.5760 A  (from peak height W(M)=0.18666)
# a_BZ_moment = 17.6177 A   (direct second moment; r_Eq29=sqrt(3/2)a_BZ=21.5772 A)
# hydrogenicity invariant R = 0.8547  (=1 if true 2D 1s)
# --- columns ---
# abs_dk[1/A]    W_k(BSE)      W_fit_linear   W_fit_log
    0.000000   1.866605e-01   1.881282e-01   3.008046e-01
    0.033244   8.919697e-02   8.652279e-02   9.421415e-02
    0.033244   8.919697e-02   8.652279e-02   9.421415e-02
    0.033244   8.919848e-02   8.652279e-02   9.421415e-02
    0.033244   8.919848e-02   8.652279e-02   9.421415e-02
    0.047015   4.768040e-02   4.671165e-02   4.088104e-02
    0.047015   4.768125e-02   4.671165e-02   4.088104e-02
    0.047015   4.768125e-02   4.671165e-02   4.088104e-02
    0.047015   4.768210e-02   4.671165e-02   4.088104e-02
    0.066489   1.908524e-02   1.810769e-02   1.246195e-02
    0.066489   1.908524e-02   1.810769e-02   1.246195e-02
    0.066489   1.908603e-02   1.810769e-02   1.246195e-02
    0.066489   1.908603e-02   1.810769e-02   1.246195e-02
    0.074337   1.216297e-02   1.237040e-02   7.912108e-03
    0.074337   1.216350e-02   1.237040e-02   7.912108e-03
    0.074337   1.216297e-02   1.237040e-02   7.912108e-03
    0.074337   1.216350e-02   1.237040e-02   7.912108e-03
    0.074337   1.216322e-02   1.237040e-02   7.912108e-03
    0.074337   1.216375e-02   1.237040e-02   7.912108e-03
    0.074337   1.216322e-02   1.237040e-02   7.912108e-03
    0.074337   1.216375e-02   1.237040e-02   7.912108e-03
    0.094029   4.240545e-03   4.941417e-03   2.754195e-03
    0.094029   4.240754e-03   4.941417e-03   2.754195e-03
    0.094029   4.240545e-03   4.941417e-03   2.754195e-03
    0.094029   4.240338e-03   4.941417e-03   2.754195e-03
    0.099733   3.913671e-03   3.838425e-03   2.075774e-03
    0.099733   3.913990e-03   3.838425e-03   2.075774e-03
    0.099733   3.913671e-03   3.838425e-03   2.075774e-03
    0.099733   3.913990e-03   3.838425e-03   2.075774e-03
