# energy_eV    eps2_arb    eps2_normalised
1.500000e+00 1.900457e-01 1.317915e-03
1.501251e+00 1.906693e-01 1.322240e-03
1.502502e+00 1.912966e-01 1.326590e-03
1.503753e+00 1.919274e-01 1.330965e-03
1.505004e+00 1.925620e-01 1.335365e-03
1.506255e+00 1.932003e-01 1.339791e-03
1.507506e+00 1.938423e-01 1.344243e-03
1.508757e+00 1.944880e-01 1.348722e-03
1.510008e+00 1.951376e-01 1.353226e-03
1.511259e+00 1.957911e-01 1.357758e-03
1.512510e+00 1.964484e-01 1.362316e-03
1.513761e+00 1.971096e-01 1.366901e-03
1.515013e+00 1.977747e-01 1.371514e-03
1.516264e+00 1.984439e-01 1.376154e-03
1.517515e+00 1.991170e-01 1.380822e-03
1.518766e+00 1.997942e-01 1.385519e-03
1.520017e+00 2.004755e-01 1.390243e-03
1.521268e+00 2.011610e-01 1.394997e-03
1.522519e+00 2.018506e-01 1.399779e-03
1.523770e+00 2.025444e-01 1.404590e-03
1.525021e+00 2.032424e-01 1.409431e-03
1.526272e+00 2.039447e-01 1.414301e-03
1.527523e+00 2.046513e-01 1.419201e-03
1.528774e+00 2.053623e-01 1.424132e-03
1.530025e+00 2.060777e-01 1.429093e-03
1.531276e+00 2.067975e-01 1.434085e-03
1.532527e+00 2.075218e-01 1.439107e-03
1.533778e+00 2.082507e-01 1.444162e-03
1.535029e+00 2.089840e-01 1.449248e-03
1.536280e+00 2.097220e-01 1.454365e-03
1.537531e+00 2.104647e-01 1.459515e-03
1.538782e+00 2.112120e-01 1.464698e-03
1.540033e+00 2.119641e-01 1.469914e-03
1.541284e+00 2.127210e-01 1.475162e-03
1.542535e+00 2.134827e-01 1.480444e-03
1.543786e+00 2.142493e-01 1.485760e-03
1.545038e+00 2.150208e-01 1.491111e-03
1.546289e+00 2.157972e-01 1.496495e-03
1.547540e+00 2.165787e-01 1.501915e-03
1.548791e+00 2.173653e-01 1.507369e-03
1.550042e+00 2.181570e-01 1.512859e-03
1.551293e+00 2.189538e-01 1.518385e-03
1.552544e+00 2.197559e-01 1.523947e-03
1.553795e+00 2.205632e-01 1.529546e-03
1.555046e+00 2.213759e-01 1.535181e-03
1.556297e+00 2.221939e-01 1.540854e-03
1.557548e+00 2.230173e-01 1.546564e-03
1.558799e+00 2.238463e-01 1.552313e-03
1.560050e+00 2.246807e-01 1.558100e-03
1.561301e+00 2.255208e-01 1.563925e-03
1.562552e+00 2.263665e-01 1.569790e-03
1.563803e+00 2.272179e-01 1.575694e-03
1.565054e+00 2.280751e-01 1.581639e-03
1.566305e+00 2.289381e-01 1.587623e-03
1.567556e+00 2.298069e-01 1.593649e-03
1.568807e+00 2.306818e-01 1.599715e-03
1.570058e+00 2.315626e-01 1.605823e-03
1.571309e+00 2.324494e-01 1.611974e-03
1.572560e+00 2.333425e-01 1.618166e-03
1.573812e+00 2.342416e-01 1.624402e-03
1.575063e+00 2.351471e-01 1.630681e-03
1.576314e+00 2.360589e-01 1.637004e-03
1.577565e+00 2.369770e-01 1.643371e-03
1.578816e+00 2.379016e-01 1.649783e-03
1.580067e+00 2.388327e-01 1.656240e-03
1.581318e+00 2.397705e-01 1.662743e-03
1.582569e+00 2.407148e-01 1.669292e-03
1.583820e+00 2.416659e-01 1.675888e-03
1.585071e+00 2.426238e-01 1.682530e-03
1.586322e+00 2.435886e-01 1.689221e-03
1.587573e+00 2.445604e-01 1.695960e-03
1.588824e+00 2.455391e-01 1.702747e-03
1.590075e+00 2.465250e-01 1.709584e-03
1.591326e+00 2.475180e-01 1.716470e-03
1.592577e+00 2.485183e-01 1.723407e-03
1.593828e+00 2.495259e-01 1.730394e-03
1.595079e+00 2.505410e-01 1.737434e-03
1.596330e+00 2.515635e-01 1.744525e-03
1.597581e+00 2.525937e-01 1.751668e-03
1.598832e+00 2.536315e-01 1.758865e-03
1.600083e+00 2.546770e-01 1.766116e-03
1.601334e+00 2.557304e-01 1.773421e-03
1.602585e+00 2.567917e-01 1.780781e-03
1.603837e+00 2.578610e-01 1.788196e-03
1.605088e+00 2.589385e-01 1.795668e-03
1.606339e+00 2.600241e-01 1.803197e-03
1.607590e+00 2.611181e-01 1.810783e-03
1.608841e+00 2.622204e-01 1.818427e-03
1.610092e+00 2.633312e-01 1.826130e-03
1.611343e+00 2.644506e-01 1.833893e-03
1.612594e+00 2.655787e-01 1.841716e-03
1.613845e+00 2.667155e-01 1.849600e-03
1.615096e+00 2.678613e-01 1.857545e-03
1.616347e+00 2.690160e-01 1.865553e-03
1.617598e+00 2.701799e-01 1.873624e-03
1.618849e+00 2.713529e-01 1.881759e-03
1.620100e+00 2.725353e-01 1.889958e-03
1.621351e+00 2.737271e-01 1.898223e-03
1.622602e+00 2.749284e-01 1.906553e-03
1.623853e+00 2.761393e-01 1.914951e-03
1.625104e+00 2.773601e-01 1.923417e-03
1.626355e+00 2.785907e-01 1.931951e-03
1.627606e+00 2.798313e-01 1.940554e-03
1.628857e+00 2.810821e-01 1.949228e-03
1.630108e+00 2.823431e-01 1.957973e-03
1.631359e+00 2.836145e-01 1.966789e-03
1.632611e+00 2.848964e-01 1.975679e-03
1.633862e+00 2.861889e-01 1.984642e-03
1.635113e+00 2.874922e-01 1.993680e-03
1.636364e+00 2.888064e-01 2.002794e-03
1.637615e+00 2.901316e-01 2.011984e-03
1.638866e+00 2.914680e-01 2.021252e-03
1.640117e+00 2.928158e-01 2.030598e-03
1.641368e+00 2.941750e-01 2.040023e-03
1.642619e+00 2.955458e-01 2.049530e-03
1.643870e+00 2.969283e-01 2.059117e-03
1.645121e+00 2.983228e-01 2.068788e-03
1.646372e+00 2.997293e-01 2.078541e-03
1.647623e+00 3.011481e-01 2.088380e-03
1.648874e+00 3.025792e-01 2.098305e-03
1.650125e+00 3.040229e-01 2.108316e-03
1.651376e+00 3.054792e-01 2.118415e-03
1.652627e+00 3.069485e-01 2.128604e-03
1.653878e+00 3.084307e-01 2.138883e-03
1.655129e+00 3.099262e-01 2.149254e-03
1.656380e+00 3.114351e-01 2.159718e-03
1.657631e+00 3.129575e-01 2.170275e-03
1.658882e+00 3.144937e-01 2.180928e-03
1.660133e+00 3.160438e-01 2.191678e-03
1.661384e+00 3.176081e-01 2.202526e-03
1.662636e+00 3.191867e-01 2.213473e-03
1.663887e+00 3.207797e-01 2.224520e-03
1.665138e+00 3.223875e-01 2.235670e-03
1.666389e+00 3.240102e-01 2.246923e-03
1.667640e+00 3.256481e-01 2.258281e-03
1.668891e+00 3.273012e-01 2.269745e-03
1.670142e+00 3.289699e-01 2.281317e-03
1.671393e+00 3.306544e-01 2.292998e-03
1.672644e+00 3.323548e-01 2.304790e-03
1.673895e+00 3.340715e-01 2.316695e-03
1.675146e+00 3.358046e-01 2.328714e-03
1.676397e+00 3.375544e-01 2.340848e-03
1.677648e+00 3.393211e-01 2.353100e-03
1.678899e+00 3.411050e-01 2.365470e-03
1.680150e+00 3.429062e-01 2.377961e-03
1.681401e+00 3.447252e-01 2.390575e-03
1.682652e+00 3.465620e-01 2.403313e-03
1.683903e+00 3.484171e-01 2.416178e-03
1.685154e+00 3.502905e-01 2.429170e-03
1.686405e+00 3.521828e-01 2.442292e-03
1.687656e+00 3.540940e-01 2.455545e-03
1.688907e+00 3.560245e-01 2.468933e-03
1.690158e+00 3.579745e-01 2.482456e-03
1.691410e+00 3.599445e-01 2.496117e-03
1.692661e+00 3.619346e-01 2.509918e-03
