# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | densities include spin factor SPIN_DEG=2
# target_n_cm2  n_cm2  dmu_eV  kx_invA  E_ck_eV  E_vk_eV  f_c  f_v
7.000000e+11 6.173703e+11 1.994100e+00 -3.000000e-01 1.716507e+00 -2.775930e-01 1.063606e-05 9.999894e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.850000e-01 1.720995e+00 -2.731049e-01 1.243391e-05 9.999876e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.700000e-01 1.726247e+00 -2.678535e-01 1.520461e-05 9.999848e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.550000e-01 1.732388e+00 -2.617116e-01 1.939219e-05 9.999806e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.400000e-01 1.739570e+00 -2.545295e-01 2.570543e-05 9.999743e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.250000e-01 1.747966e+00 -2.461343e-01 3.532286e-05 9.999647e-01
7.000000e+11 6.173703e+11 1.994100e+00 -2.100000e-01 1.757769e+00 -2.363306e-01 5.025657e-05 9.999497e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.950000e-01 1.769192e+00 -2.249076e-01 7.403959e-05 9.999260e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.800000e-01 1.782448e+00 -2.116525e-01 1.130752e-04 9.998869e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.650000e-01 1.797724e+00 -1.963755e-01 1.793831e-04 9.998206e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.500000e-01 1.815149e+00 -1.789508e-01 2.963941e-04 9.997036e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.350000e-01 1.834727e+00 -1.593727e-01 5.116221e-04 9.994884e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.200000e-01 1.856274e+00 -1.378258e-01 9.252481e-04 9.990748e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.050000e-01 1.879342e+00 -1.147579e-01 1.755855e-03 9.982441e-01
7.000000e+11 6.173703e+11 1.994100e+00 -9.000000e-02 1.903159e+00 -9.094095e-02 3.490307e-03 9.965097e-01
7.000000e+11 6.173703e+11 1.994100e+00 -7.500000e-02 1.926595e+00 -6.750461e-02 7.200881e-03 9.927991e-01
7.000000e+11 6.173703e+11 1.994100e+00 -6.000000e-02 1.948177e+00 -4.592260e-02 1.505949e-02 9.849405e-01
7.000000e+11 6.173703e+11 1.994100e+00 -4.500000e-02 1.966211e+00 -2.788916e-02 3.044632e-02 9.695537e-01
7.000000e+11 6.173703e+11 1.994100e+00 -3.000000e-02 1.979189e+00 -1.491083e-02 5.515795e-02 9.448420e-01
7.000000e+11 6.173703e+11 1.994100e+00 -1.500000e-02 1.986534e+00 -7.565684e-03 8.206949e-02 9.179305e-01
7.000000e+11 6.173703e+11 1.994100e+00 5.551115e-17 1.988812e+00 -5.287824e-03 9.429814e-02 9.057019e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.500000e-02 1.986534e+00 -7.565684e-03 8.206949e-02 9.179305e-01
7.000000e+11 6.173703e+11 1.994100e+00 3.000000e-02 1.979189e+00 -1.491083e-02 5.515795e-02 9.448420e-01
7.000000e+11 6.173703e+11 1.994100e+00 4.500000e-02 1.966211e+00 -2.788916e-02 3.044632e-02 9.695537e-01
7.000000e+11 6.173703e+11 1.994100e+00 6.000000e-02 1.948177e+00 -4.592260e-02 1.505949e-02 9.849405e-01
7.000000e+11 6.173703e+11 1.994100e+00 7.500000e-02 1.926595e+00 -6.750461e-02 7.200881e-03 9.927991e-01
7.000000e+11 6.173703e+11 1.994100e+00 9.000000e-02 1.903159e+00 -9.094095e-02 3.490307e-03 9.965097e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.050000e-01 1.879342e+00 -1.147579e-01 1.755855e-03 9.982441e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.200000e-01 1.856274e+00 -1.378258e-01 9.252481e-04 9.990748e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.350000e-01 1.834727e+00 -1.593727e-01 5.116221e-04 9.994884e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.500000e-01 1.815149e+00 -1.789508e-01 2.963941e-04 9.997036e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.650000e-01 1.797724e+00 -1.963755e-01 1.793831e-04 9.998206e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.800000e-01 1.782448e+00 -2.116525e-01 1.130752e-04 9.998869e-01
7.000000e+11 6.173703e+11 1.994100e+00 1.950000e-01 1.769192e+00 -2.249076e-01 7.403959e-05 9.999260e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.100000e-01 1.757769e+00 -2.363306e-01 5.025657e-05 9.999497e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.250000e-01 1.747966e+00 -2.461343e-01 3.532286e-05 9.999647e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.400000e-01 1.739570e+00 -2.545295e-01 2.570543e-05 9.999743e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.550000e-01 1.732388e+00 -2.617116e-01 1.939219e-05 9.999806e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.700000e-01 1.726247e+00 -2.678535e-01 1.520461e-05 9.999848e-01
7.000000e+11 6.173703e+11 1.994100e+00 2.850000e-01 1.720995e+00 -2.731049e-01 1.243391e-05 9.999876e-01
7.000000e+11 6.173703e+11 1.994100e+00 3.000000e-01 1.716507e+00 -2.775930e-01 1.063606e-05 9.999894e-01
5.000000e+12 5.279963e+12 2.014100e+00 -3.000000e-01 1.737904e+00 -2.761956e-01 9.303981e-05 9.999070e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.850000e-01 1.742470e+00 -2.716301e-01 1.087768e-04 9.998912e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.700000e-01 1.747852e+00 -2.662482e-01 1.329390e-04 9.998671e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.550000e-01 1.754177e+00 -2.599228e-01 1.695884e-04 9.998304e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.400000e-01 1.761597e+00 -2.525032e-01 2.252113e-04 9.997748e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.250000e-01 1.770289e+00 -2.438110e-01 3.106082e-04 9.996894e-01
5.000000e+12 5.279963e+12 2.014100e+00 -2.100000e-01 1.780459e+00 -2.336412e-01 4.443715e-04 9.995556e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.950000e-01 1.792332e+00 -2.217679e-01 6.595816e-04 9.993404e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.800000e-01 1.806140e+00 -2.079598e-01 1.017218e-03 9.989828e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.650000e-01 1.822093e+00 -1.920067e-01 1.634182e-03 9.983658e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.500000e-01 1.840335e+00 -1.737653e-01 2.744415e-03 9.972556e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.350000e-01 1.860870e+00 -1.532300e-01 4.837959e-03 9.951620e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.200000e-01 1.883463e+00 -1.306366e-01 8.989094e-03 9.910109e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.050000e-01 1.907480e+00 -1.066199e-01 1.764312e-02 9.823569e-01
5.000000e+12 5.279963e+12 2.014100e+00 -9.000000e-02 1.931636e+00 -8.246405e-02 3.641769e-02 9.635823e-01
5.000000e+12 5.279963e+12 2.014100e+00 -7.500000e-02 1.953616e+00 -6.048414e-02 7.728959e-02 9.227104e-01
5.000000e+12 5.279963e+12 2.014100e+00 -6.000000e-02 1.969854e+00 -4.424649e-02 1.587370e-01 8.412630e-01
5.000000e+12 5.279963e+12 2.014100e+00 -4.500000e-02 1.976940e+00 -3.715994e-02 2.851621e-01 7.148379e-01
5.000000e+12 5.279963e+12 2.014100e+00 -3.000000e-02 1.975490e+00 -3.860998e-02 4.168430e-01 5.831570e-01
5.000000e+12 5.279963e+12 2.014100e+00 -1.500000e-02 1.970933e+00 -4.316684e-02 5.051490e-01 4.948510e-01
5.000000e+12 5.279963e+12 2.014100e+00 5.551115e-17 1.968736e+00 -4.536425e-02 5.346222e-01 4.653778e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.500000e-02 1.970933e+00 -4.316684e-02 5.051490e-01 4.948510e-01
5.000000e+12 5.279963e+12 2.014100e+00 3.000000e-02 1.975490e+00 -3.860998e-02 4.168430e-01 5.831570e-01
5.000000e+12 5.279963e+12 2.014100e+00 4.500000e-02 1.976940e+00 -3.715994e-02 2.851621e-01 7.148379e-01
5.000000e+12 5.279963e+12 2.014100e+00 6.000000e-02 1.969854e+00 -4.424649e-02 1.587370e-01 8.412630e-01
5.000000e+12 5.279963e+12 2.014100e+00 7.500000e-02 1.953616e+00 -6.048414e-02 7.728959e-02 9.227104e-01
5.000000e+12 5.279963e+12 2.014100e+00 9.000000e-02 1.931636e+00 -8.246405e-02 3.641769e-02 9.635823e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.050000e-01 1.907480e+00 -1.066199e-01 1.764312e-02 9.823569e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.200000e-01 1.883463e+00 -1.306366e-01 8.989094e-03 9.910109e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.350000e-01 1.860870e+00 -1.532300e-01 4.837959e-03 9.951620e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.500000e-01 1.840335e+00 -1.737653e-01 2.744415e-03 9.972556e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.650000e-01 1.822093e+00 -1.920067e-01 1.634182e-03 9.983658e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.800000e-01 1.806140e+00 -2.079598e-01 1.017218e-03 9.989828e-01
5.000000e+12 5.279963e+12 2.014100e+00 1.950000e-01 1.792332e+00 -2.217679e-01 6.595816e-04 9.993404e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.100000e-01 1.780459e+00 -2.336412e-01 4.443715e-04 9.995556e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.250000e-01 1.770289e+00 -2.438110e-01 3.106082e-04 9.996894e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.400000e-01 1.761597e+00 -2.525032e-01 2.252113e-04 9.997748e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.550000e-01 1.754177e+00 -2.599228e-01 1.695884e-04 9.998304e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.700000e-01 1.747852e+00 -2.662482e-01 1.329390e-04 9.998671e-01
5.000000e+12 5.279963e+12 2.014100e+00 2.850000e-01 1.742470e+00 -2.716301e-01 1.087768e-04 9.998912e-01
5.000000e+12 5.279963e+12 2.014100e+00 3.000000e-01 1.737904e+00 -2.761956e-01 9.303981e-05 9.999070e-01
1.000000e+13 9.513534e+12 2.033600e+00 -3.000000e-01 1.758711e+00 -2.748892e-01 1.736586e-04 9.998263e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.850000e-01 1.763344e+00 -2.702565e-01 2.031999e-04 9.997968e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.700000e-01 1.768839e+00 -2.647610e-01 2.483997e-04 9.997516e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.550000e-01 1.775328e+00 -2.582721e-01 3.170833e-04 9.996829e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.400000e-01 1.782965e+00 -2.506352e-01 4.218866e-04 9.995781e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.250000e-01 1.791933e+00 -2.416668e-01 5.839860e-04 9.994160e-01
1.000000e+13 9.513534e+12 2.033600e+00 -2.100000e-01 1.802447e+00 -2.311531e-01 8.401242e-04 9.991599e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.950000e-01 1.814745e+00 -2.188548e-01 1.256508e-03 9.987435e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.800000e-01 1.829077e+00 -2.045228e-01 1.957275e-03 9.980427e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.650000e-01 1.845671e+00 -1.879287e-01 3.185549e-03 9.968145e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.500000e-01 1.864683e+00 -1.689171e-01 5.441041e-03 9.945590e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.350000e-01 1.886102e+00 -1.474976e-01 9.805548e-03 9.901945e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.200000e-01 1.909596e+00 -1.240041e-01 1.874371e-02 9.812563e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.050000e-01 1.934205e+00 -9.939530e-02 3.807767e-02 9.619223e-01
1.000000e+13 9.513534e+12 2.033600e+00 -9.000000e-02 1.957766e+00 -7.583436e-02 8.126169e-02 9.187383e-01
1.000000e+13 9.513534e+12 2.033600e+00 -7.500000e-02 1.976078e+00 -5.752153e-02 1.733192e-01 8.266808e-01
1.000000e+13 9.513534e+12 2.033600e+00 -6.000000e-02 1.983479e+00 -5.012135e-02 3.302601e-01 6.697399e-01
1.000000e+13 9.513534e+12 2.033600e+00 -4.500000e-02 1.978201e+00 -5.539937e-02 5.057226e-01 4.942774e-01
1.000000e+13 9.513534e+12 2.033600e+00 -3.000000e-02 1.966345e+00 -6.725467e-02 6.326798e-01 3.673202e-01
1.000000e+13 9.513534e+12 2.033600e+00 -1.500000e-02 1.956000e+00 -7.759978e-02 6.995726e-01 3.004274e-01
1.000000e+13 9.513534e+12 2.033600e+00 5.551115e-17 1.952058e+00 -8.154185e-02 7.197455e-01 2.802545e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.500000e-02 1.956000e+00 -7.759978e-02 6.995726e-01 3.004274e-01
1.000000e+13 9.513534e+12 2.033600e+00 3.000000e-02 1.966345e+00 -6.725467e-02 6.326798e-01 3.673202e-01
1.000000e+13 9.513534e+12 2.033600e+00 4.500000e-02 1.978201e+00 -5.539937e-02 5.057226e-01 4.942774e-01
1.000000e+13 9.513534e+12 2.033600e+00 6.000000e-02 1.983479e+00 -5.012135e-02 3.302601e-01 6.697399e-01
1.000000e+13 9.513534e+12 2.033600e+00 7.500000e-02 1.976078e+00 -5.752153e-02 1.733192e-01 8.266808e-01
1.000000e+13 9.513534e+12 2.033600e+00 9.000000e-02 1.957766e+00 -7.583436e-02 8.126169e-02 9.187383e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.050000e-01 1.934205e+00 -9.939530e-02 3.807767e-02 9.619223e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.200000e-01 1.909596e+00 -1.240041e-01 1.874371e-02 9.812563e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.350000e-01 1.886102e+00 -1.474976e-01 9.805548e-03 9.901945e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.500000e-01 1.864683e+00 -1.689171e-01 5.441041e-03 9.945590e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.650000e-01 1.845671e+00 -1.879287e-01 3.185549e-03 9.968145e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.800000e-01 1.829077e+00 -2.045228e-01 1.957275e-03 9.980427e-01
1.000000e+13 9.513534e+12 2.033600e+00 1.950000e-01 1.814745e+00 -2.188548e-01 1.256508e-03 9.987435e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.100000e-01 1.802447e+00 -2.311531e-01 8.401242e-04 9.991599e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.250000e-01 1.791933e+00 -2.416668e-01 5.839860e-04 9.994160e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.400000e-01 1.782965e+00 -2.506352e-01 4.218866e-04 9.995781e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.550000e-01 1.775328e+00 -2.582721e-01 3.170833e-04 9.996829e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.700000e-01 1.768839e+00 -2.647610e-01 2.483997e-04 9.997516e-01
1.000000e+13 9.513534e+12 2.033600e+00 2.850000e-01 1.763344e+00 -2.702565e-01 2.031999e-04 9.997968e-01
1.000000e+13 9.513534e+12 2.033600e+00 3.000000e-01 1.758711e+00 -2.748892e-01 1.736586e-04 9.998263e-01
