# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=2.000e+12 cm^-2  n=2.075821e+12 cm^-2  dmu=2.009100 eV  BEC
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.462394e-01
-2.850000e-01 -6.275930e-01 5.328702e-01
-2.700000e-01 -6.275930e-01 5.177471e-01
-2.550000e-01 -6.275930e-01 5.007890e-01
-2.400000e-01 -6.275930e-01 4.819358e-01
-2.250000e-01 -6.275930e-01 4.611619e-01
-2.100000e-01 -6.275930e-01 4.384984e-01
-1.950000e-01 -6.275930e-01 4.140619e-01
-1.800000e-01 -6.275930e-01 3.880837e-01
-1.650000e-01 -6.275930e-01 3.609320e-01
-1.500000e-01 -6.275930e-01 3.331161e-01
-1.350000e-01 -6.275930e-01 3.052596e-01
-1.200000e-01 -6.275930e-01 2.780254e-01
-1.050000e-01 -6.275930e-01 2.519770e-01
-9.000000e-02 -6.275930e-01 2.273477e-01
-7.500000e-02 -6.275930e-01 2.036982e-01
-6.000000e-02 -6.275930e-01 1.797375e-01
-4.500000e-02 -6.275930e-01 1.547223e-01
-3.000000e-02 -6.275930e-01 1.317916e-01
-1.500000e-02 -6.275930e-01 1.164325e-01
5.551115e-17 -6.275930e-01 1.112203e-01
1.500000e-02 -6.275930e-01 1.164325e-01
3.000000e-02 -6.275930e-01 1.317916e-01
4.500000e-02 -6.275930e-01 1.547223e-01
6.000000e-02 -6.275930e-01 1.797375e-01
7.500000e-02 -6.275930e-01 2.036982e-01
9.000000e-02 -6.275930e-01 2.273477e-01
1.050000e-01 -6.275930e-01 2.519770e-01
1.200000e-01 -6.275930e-01 2.780254e-01
1.350000e-01 -6.275930e-01 3.052596e-01
1.500000e-01 -6.275930e-01 3.331161e-01
1.650000e-01 -6.275930e-01 3.609320e-01
1.800000e-01 -6.275930e-01 3.880837e-01
1.950000e-01 -6.275930e-01 4.140619e-01
2.100000e-01 -6.275930e-01 4.384984e-01
2.250000e-01 -6.275930e-01 4.611619e-01
2.400000e-01 -6.275930e-01 4.819358e-01
2.550000e-01 -6.275930e-01 5.007890e-01
2.700000e-01 -6.275930e-01 5.177471e-01
2.850000e-01 -6.275930e-01 5.328702e-01
3.000000e-01 -6.275930e-01 5.462394e-01
-3.000000e-01 -6.139287e-01 5.895176e-01
-2.850000e-01 -6.139287e-01 5.745622e-01
-2.700000e-01 -6.139287e-01 5.576687e-01
-2.550000e-01 -6.139287e-01 5.387562e-01
-2.400000e-01 -6.139287e-01 5.177691e-01
-2.250000e-01 -6.139287e-01 4.946924e-01
-2.100000e-01 -6.139287e-01 4.695758e-01
-1.950000e-01 -6.139287e-01 4.425657e-01
-1.800000e-01 -6.139287e-01 4.139355e-01
-1.650000e-01 -6.139287e-01 3.841080e-01
-1.500000e-01 -6.139287e-01 3.536573e-01
-1.350000e-01 -6.139287e-01 3.232764e-01
-1.200000e-01 -6.139287e-01 2.936934e-01
-1.050000e-01 -6.139287e-01 2.655217e-01
-9.000000e-02 -6.139287e-01 2.390172e-01
-7.500000e-02 -6.139287e-01 2.137226e-01
-6.000000e-02 -6.139287e-01 1.882835e-01
-4.500000e-02 -6.139287e-01 1.619082e-01
-3.000000e-02 -6.139287e-01 1.378360e-01
-1.500000e-02 -6.139287e-01 1.217449e-01
5.551115e-17 -6.139287e-01 1.162882e-01
1.500000e-02 -6.139287e-01 1.217449e-01
3.000000e-02 -6.139287e-01 1.378360e-01
4.500000e-02 -6.139287e-01 1.619082e-01
6.000000e-02 -6.139287e-01 1.882835e-01
7.500000e-02 -6.139287e-01 2.137226e-01
9.000000e-02 -6.139287e-01 2.390172e-01
1.050000e-01 -6.139287e-01 2.655217e-01
1.200000e-01 -6.139287e-01 2.936934e-01
1.350000e-01 -6.139287e-01 3.232764e-01
1.500000e-01 -6.139287e-01 3.536573e-01
1.650000e-01 -6.139287e-01 3.841080e-01
1.800000e-01 -6.139287e-01 4.139355e-01
1.950000e-01 -6.139287e-01 4.425657e-01
2.100000e-01 -6.139287e-01 4.695758e-01
2.250000e-01 -6.139287e-01 4.946924e-01
2.400000e-01 -6.139287e-01 5.177691e-01
2.550000e-01 -6.139287e-01 5.387562e-01
2.700000e-01 -6.139287e-01 5.576687e-01
2.850000e-01 -6.139287e-01 5.745622e-01
3.000000e-01 -6.139287e-01 5.895176e-01
-3.000000e-01 -6.002645e-01 6.380642e-01
-2.850000e-01 -6.002645e-01 6.212659e-01
-2.700000e-01 -6.002645e-01 6.023194e-01
-2.550000e-01 -6.002645e-01 5.811451e-01
-2.400000e-01 -6.002645e-01 5.576946e-01
-2.250000e-01 -6.002645e-01 5.319667e-01
-2.100000e-01 -6.002645e-01 5.040349e-01
-1.950000e-01 -6.002645e-01 4.740815e-01
-1.800000e-01 -6.002645e-01 4.424299e-01
-1.650000e-01 -6.002645e-01 4.095668e-01
-1.500000e-01 -6.002645e-01 3.761407e-01
-1.350000e-01 -6.002645e-01 3.429229e-01
-1.200000e-01 -6.002645e-01 3.107139e-01
-1.050000e-01 -6.002645e-01 2.801812e-01
-9.000000e-02 -6.002645e-01 2.516039e-01
-7.500000e-02 -6.002645e-01 2.245026e-01
-6.000000e-02 -6.002645e-01 1.974531e-01
-4.500000e-02 -6.002645e-01 1.696085e-01
-3.000000e-02 -6.002645e-01 1.443108e-01
-1.500000e-02 -6.002645e-01 1.274362e-01
5.551115e-17 -6.002645e-01 1.217182e-01
1.500000e-02 -6.002645e-01 1.274362e-01
3.000000e-02 -6.002645e-01 1.443108e-01
4.500000e-02 -6.002645e-01 1.696085e-01
6.000000e-02 -6.002645e-01 1.974531e-01
7.500000e-02 -6.002645e-01 2.245026e-01
9.000000e-02 -6.002645e-01 2.516039e-01
1.050000e-01 -6.002645e-01 2.801812e-01
1.200000e-01 -6.002645e-01 3.107139e-01
1.350000e-01 -6.002645e-01 3.429229e-01
1.500000e-01 -6.002645e-01 3.761407e-01
1.650000e-01 -6.002645e-01 4.095668e-01
1.800000e-01 -6.002645e-01 4.424299e-01
1.950000e-01 -6.002645e-01 4.740815e-01
2.100000e-01 -6.002645e-01 5.040349e-01
2.250000e-01 -6.002645e-01 5.319667e-01
2.400000e-01 -6.002645e-01 5.576946e-01
2.550000e-01 -6.002645e-01 5.811451e-01
2.700000e-01 -6.002645e-01 6.023194e-01
2.850000e-01 -6.002645e-01 6.212659e-01
3.000000e-01 -6.002645e-01 6.380642e-01
-3.000000e-01 -5.866002e-01 6.927541e-01
-2.850000e-01 -5.866002e-01 6.738031e-01
-2.700000e-01 -5.866002e-01 6.524632e-01
-2.550000e-01 -5.866002e-01 6.286583e-01
-2.400000e-01 -5.866002e-01 6.023499e-01
-2.250000e-01 -5.866002e-01 5.735553e-01
-2.100000e-01 -5.866002e-01 5.423777e-01
-1.950000e-01 -5.866002e-01 5.090433e-01
-1.800000e-01 -5.866002e-01 4.739352e-01
-1.650000e-01 -5.866002e-01 4.376148e-01
-1.500000e-01 -5.866002e-01 4.008165e-01
-1.350000e-01 -5.866002e-01 3.644000e-01
-1.200000e-01 -5.866002e-01 3.292460e-01
-1.050000e-01 -5.866002e-01 2.960805e-01
-9.000000e-02 -5.866002e-01 2.652055e-01
-7.500000e-02 -5.866002e-01 2.361156e-01
-6.000000e-02 -5.866002e-01 2.073083e-01
-4.500000e-02 -5.866002e-01 1.778735e-01
-3.000000e-02 -5.866002e-01 1.512579e-01
-1.500000e-02 -5.866002e-01 1.335435e-01
5.551115e-17 -5.866002e-01 1.275457e-01
1.500000e-02 -5.866002e-01 1.335435e-01
3.000000e-02 -5.866002e-01 1.512579e-01
4.500000e-02 -5.866002e-01 1.778735e-01
6.000000e-02 -5.866002e-01 2.073083e-01
7.500000e-02 -5.866002e-01 2.361156e-01
9.000000e-02 -5.866002e-01 2.652055e-01
1.050000e-01 -5.866002e-01 2.960805e-01
1.200000e-01 -5.866002e-01 3.292460e-01
1.350000e-01 -5.866002e-01 3.644000e-01
1.500000e-01 -5.866002e-01 4.008165e-01
1.650000e-01 -5.866002e-01 4.376148e-01
1.800000e-01 -5.866002e-01 4.739352e-01
1.950000e-01 -5.866002e-01 5.090433e-01
2.100000e-01 -5.866002e-01 5.423777e-01
2.250000e-01 -5.866002e-01 5.735553e-01
2.400000e-01 -5.866002e-01 6.023499e-01
2.550000e-01 -5.866002e-01 6.286583e-01
2.700000e-01 -5.866002e-01 6.524632e-01
2.850000e-01 -5.866002e-01 6.738031e-01
3.000000e-01 -5.866002e-01 6.927541e-01
-3.000000e-01 -5.729359e-01 7.546477e-01
-2.850000e-01 -5.729359e-01 7.331677e-01
-2.700000e-01 -5.729359e-01 7.090220e-01
-2.550000e-01 -5.729359e-01 6.821407e-01
-2.400000e-01 -5.729359e-01 6.524993e-01
-2.250000e-01 -5.729359e-01 6.201392e-01
-2.100000e-01 -5.729359e-01 5.852011e-01
-1.950000e-01 -5.729359e-01 5.479650e-01
-1.800000e-01 -5.729359e-01 5.088853e-01
-1.650000e-01 -5.729359e-01 4.686112e-01
-1.500000e-01 -5.729359e-01 4.279759e-01
-1.350000e-01 -5.729359e-01 3.879398e-01
-1.200000e-01 -5.729359e-01 3.494723e-01
-1.050000e-01 -5.729359e-01 3.133622e-01
-9.000000e-02 -5.729359e-01 2.799337e-01
-7.500000e-02 -5.729359e-01 2.486494e-01
-6.000000e-02 -5.729359e-01 2.179186e-01
-4.500000e-02 -5.729359e-01 1.867596e-01
-3.000000e-02 -5.729359e-01 1.587241e-01
-1.500000e-02 -5.729359e-01 1.401082e-01
5.551115e-17 -5.729359e-01 1.338105e-01
1.500000e-02 -5.729359e-01 1.401082e-01
3.000000e-02 -5.729359e-01 1.587241e-01
4.500000e-02 -5.729359e-01 1.867596e-01
6.000000e-02 -5.729359e-01 2.179186e-01
7.500000e-02 -5.729359e-01 2.486494e-01
9.000000e-02 -5.729359e-01 2.799337e-01
1.050000e-01 -5.729359e-01 3.133622e-01
1.200000e-01 -5.729359e-01 3.494723e-01
1.350000e-01 -5.729359e-01 3.879398e-01
1.500000e-01 -5.729359e-01 4.279759e-01
1.650000e-01 -5.729359e-01 4.686112e-01
1.800000e-01 -5.729359e-01 5.088853e-01
1.950000e-01 -5.729359e-01 5.479650e-01
2.100000e-01 -5.729359e-01 5.852011e-01
2.250000e-01 -5.729359e-01 6.201392e-01
2.400000e-01 -5.729359e-01 6.524993e-01
2.550000e-01 -5.729359e-01 6.821407e-01
2.700000e-01 -5.729359e-01 7.090220e-01
2.850000e-01 -5.729359e-01 7.331677e-01
3.000000e-01 -5.729359e-01 7.546477e-01
-3.000000e-01 -5.592716e-01 8.250384e-01
-2.850000e-01 -5.592716e-01 8.005695e-01
-2.700000e-01 -5.592716e-01 7.731151e-01
-2.550000e-01 -5.592716e-01 7.426152e-01
-2.400000e-01 -5.592716e-01 7.090648e-01
-2.250000e-01 -5.592716e-01 6.725369e-01
-2.100000e-01 -5.592716e-01 6.332196e-01
-1.950000e-01 -5.592716e-01 5.914585e-01
-1.800000e-01 -5.592716e-01 5.477939e-01
-1.650000e-01 -5.592716e-01 5.029785e-01
-1.500000e-01 -5.592716e-01 4.579600e-01
-1.350000e-01 -5.592716e-01 4.138125e-01
-1.200000e-01 -5.592716e-01 3.716040e-01
-1.050000e-01 -5.592716e-01 3.321900e-01
-9.000000e-02 -5.592716e-01 2.959153e-01
-7.500000e-02 -5.592716e-01 2.622031e-01
-6.000000e-02 -5.592716e-01 2.293630e-01
-4.500000e-02 -5.592716e-01 1.963302e-01
-3.000000e-02 -5.592716e-01 1.667625e-01
-1.500000e-02 -5.592716e-01 1.471771e-01
5.551115e-17 -5.592716e-01 1.405574e-01
1.500000e-02 -5.592716e-01 1.471771e-01
3.000000e-02 -5.592716e-01 1.667625e-01
4.500000e-02 -5.592716e-01 1.963302e-01
6.000000e-02 -5.592716e-01 2.293630e-01
7.500000e-02 -5.592716e-01 2.622031e-01
9.000000e-02 -5.592716e-01 2.959153e-01
1.050000e-01 -5.592716e-01 3.321900e-01
1.200000e-01 -5.592716e-01 3.716040e-01
1.350000e-01 -5.592716e-01 4.138125e-01
1.500000e-01 -5.592716e-01 4.579600e-01
1.650000e-01 -5.592716e-01 5.029785e-01
1.800000e-01 -5.592716e-01 5.477939e-01
