# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=3.200e+12 cm^-2  n=3.194282e+12 cm^-2  dmu=2.019100 eV  inverted
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.441861e-01
-2.850000e-01 -6.275930e-01 5.307835e-01
-2.700000e-01 -6.275930e-01 5.155739e-01
-2.550000e-01 -6.275930e-01 4.984839e-01
-2.400000e-01 -6.275930e-01 4.794632e-01
-2.250000e-01 -6.275930e-01 4.584941e-01
-2.100000e-01 -6.275930e-01 4.356125e-01
-1.950000e-01 -6.275930e-01 4.109364e-01
-1.800000e-01 -6.275930e-01 3.846956e-01
-1.650000e-01 -6.275930e-01 3.572525e-01
-1.500000e-01 -6.275930e-01 3.291026e-01
-1.350000e-01 -6.275930e-01 3.008377e-01
-1.200000e-01 -6.275930e-01 2.730500e-01
-1.050000e-01 -6.275930e-01 2.461407e-01
-9.000000e-02 -6.275930e-01 2.199749e-01
-7.500000e-02 -6.275930e-01 1.934017e-01
-6.000000e-02 -6.275930e-01 1.645803e-01
-4.500000e-02 -6.275930e-01 1.346598e-01
-3.000000e-02 -6.275930e-01 1.102047e-01
-1.500000e-02 -6.275930e-01 9.579580e-02
5.551115e-17 -6.275930e-01 9.122793e-02
1.500000e-02 -6.275930e-01 9.579580e-02
3.000000e-02 -6.275930e-01 1.102047e-01
4.500000e-02 -6.275930e-01 1.346598e-01
6.000000e-02 -6.275930e-01 1.645803e-01
7.500000e-02 -6.275930e-01 1.934017e-01
9.000000e-02 -6.275930e-01 2.199749e-01
1.050000e-01 -6.275930e-01 2.461407e-01
1.200000e-01 -6.275930e-01 2.730500e-01
1.350000e-01 -6.275930e-01 3.008377e-01
1.500000e-01 -6.275930e-01 3.291026e-01
1.650000e-01 -6.275930e-01 3.572525e-01
1.800000e-01 -6.275930e-01 3.846956e-01
1.950000e-01 -6.275930e-01 4.109364e-01
2.100000e-01 -6.275930e-01 4.356125e-01
2.250000e-01 -6.275930e-01 4.584941e-01
2.400000e-01 -6.275930e-01 4.794632e-01
2.550000e-01 -6.275930e-01 4.984839e-01
2.700000e-01 -6.275930e-01 5.155739e-01
2.850000e-01 -6.275930e-01 5.307835e-01
3.000000e-01 -6.275930e-01 5.441861e-01
-3.000000e-01 -6.139287e-01 5.872202e-01
-2.850000e-01 -6.139287e-01 5.722305e-01
-2.700000e-01 -6.139287e-01 5.552442e-01
-2.550000e-01 -6.139287e-01 5.361893e-01
-2.400000e-01 -6.139287e-01 5.150212e-01
-2.250000e-01 -6.139287e-01 4.917345e-01
-2.100000e-01 -6.139287e-01 4.663847e-01
-1.950000e-01 -6.139287e-01 4.391201e-01
-1.800000e-01 -6.139287e-01 4.102131e-01
-1.650000e-01 -6.139287e-01 3.800808e-01
-1.500000e-01 -6.139287e-01 3.492833e-01
-1.350000e-01 -6.139287e-01 3.184808e-01
-1.200000e-01 -6.139287e-01 2.883277e-01
-1.050000e-01 -6.139287e-01 2.592689e-01
-9.000000e-02 -6.139287e-01 2.311778e-01
-7.500000e-02 -6.139287e-01 2.028577e-01
-6.000000e-02 -6.139287e-01 1.723842e-01
-4.500000e-02 -6.139287e-01 1.409328e-01
-3.000000e-02 -6.139287e-01 1.153011e-01
-1.500000e-02 -6.139287e-01 1.002163e-01
5.551115e-17 -6.139287e-01 9.543603e-02
1.500000e-02 -6.139287e-01 1.002163e-01
3.000000e-02 -6.139287e-01 1.153011e-01
4.500000e-02 -6.139287e-01 1.409328e-01
6.000000e-02 -6.139287e-01 1.723842e-01
7.500000e-02 -6.139287e-01 2.028577e-01
9.000000e-02 -6.139287e-01 2.311778e-01
1.050000e-01 -6.139287e-01 2.592689e-01
1.200000e-01 -6.139287e-01 2.883277e-01
1.350000e-01 -6.139287e-01 3.184808e-01
1.500000e-01 -6.139287e-01 3.492833e-01
1.650000e-01 -6.139287e-01 3.800808e-01
1.800000e-01 -6.139287e-01 4.102131e-01
1.950000e-01 -6.139287e-01 4.391201e-01
2.100000e-01 -6.139287e-01 4.663847e-01
2.250000e-01 -6.139287e-01 4.917345e-01
2.400000e-01 -6.139287e-01 5.150212e-01
2.550000e-01 -6.139287e-01 5.361893e-01
2.700000e-01 -6.139287e-01 5.552442e-01
2.850000e-01 -6.139287e-01 5.722305e-01
3.000000e-01 -6.139287e-01 5.872202e-01
-3.000000e-01 -6.002645e-01 6.354831e-01
-2.850000e-01 -6.002645e-01 6.186500e-01
-2.700000e-01 -6.002645e-01 5.996039e-01
-2.550000e-01 -6.002645e-01 5.782757e-01
-2.400000e-01 -6.002645e-01 5.546296e-01
-2.250000e-01 -6.002645e-01 5.286757e-01
-2.100000e-01 -6.002645e-01 5.004944e-01
-1.950000e-01 -6.002645e-01 4.702708e-01
-1.800000e-01 -6.002645e-01 4.383278e-01
-1.650000e-01 -6.002645e-01 4.051466e-01
-1.500000e-01 -6.002645e-01 3.713615e-01
-1.350000e-01 -6.002645e-01 3.377097e-01
-1.200000e-01 -6.002645e-01 3.049150e-01
-1.050000e-01 -6.002645e-01 2.734694e-01
-9.000000e-02 -6.002645e-01 2.432545e-01
-7.500000e-02 -6.002645e-01 2.130229e-01
-6.000000e-02 -6.002645e-01 1.807581e-01
-4.500000e-02 -6.002645e-01 1.476597e-01
-3.000000e-02 -6.002645e-01 1.207678e-01
-1.500000e-02 -6.002645e-01 1.049607e-01
5.551115e-17 -6.002645e-01 9.995367e-02
1.500000e-02 -6.002645e-01 1.049607e-01
3.000000e-02 -6.002645e-01 1.207678e-01
4.500000e-02 -6.002645e-01 1.476597e-01
6.000000e-02 -6.002645e-01 1.807581e-01
7.500000e-02 -6.002645e-01 2.130229e-01
9.000000e-02 -6.002645e-01 2.432545e-01
1.050000e-01 -6.002645e-01 2.734694e-01
1.200000e-01 -6.002645e-01 3.049150e-01
1.350000e-01 -6.002645e-01 3.377097e-01
1.500000e-01 -6.002645e-01 3.713615e-01
1.650000e-01 -6.002645e-01 4.051466e-01
1.800000e-01 -6.002645e-01 4.383278e-01
1.950000e-01 -6.002645e-01 4.702708e-01
2.100000e-01 -6.002645e-01 5.004944e-01
2.250000e-01 -6.002645e-01 5.286757e-01
2.400000e-01 -6.002645e-01 5.546296e-01
2.550000e-01 -6.002645e-01 5.782757e-01
2.700000e-01 -6.002645e-01 5.996039e-01
2.850000e-01 -6.002645e-01 6.186500e-01
3.000000e-01 -6.002645e-01 6.354831e-01
-3.000000e-01 -5.866002e-01 6.898414e-01
-2.850000e-01 -5.866002e-01 6.708557e-01
-2.700000e-01 -5.866002e-01 6.494090e-01
-2.550000e-01 -5.866002e-01 6.254376e-01
-2.400000e-01 -5.866002e-01 5.989177e-01
-2.250000e-01 -5.866002e-01 5.698797e-01
-2.100000e-01 -5.866002e-01 5.384353e-01
-1.950000e-01 -5.866002e-01 5.048144e-01
-1.800000e-01 -5.866002e-01 4.694002e-01
-1.650000e-01 -5.866002e-01 4.327489e-01
-1.500000e-01 -5.866002e-01 3.955801e-01
-1.350000e-01 -5.866002e-01 3.587184e-01
-1.200000e-01 -5.866002e-01 3.229645e-01
-1.050000e-01 -5.866002e-01 2.888615e-01
-9.000000e-02 -5.866002e-01 2.562979e-01
-7.500000e-02 -5.866002e-01 2.239696e-01
-6.000000e-02 -5.866002e-01 1.897585e-01
-4.500000e-02 -5.866002e-01 1.548852e-01
-3.000000e-02 -5.866002e-01 1.266417e-01
-1.500000e-02 -5.866002e-01 1.100617e-01
5.551115e-17 -5.866002e-01 1.048121e-01
1.500000e-02 -5.866002e-01 1.100617e-01
3.000000e-02 -5.866002e-01 1.266417e-01
4.500000e-02 -5.866002e-01 1.548852e-01
6.000000e-02 -5.866002e-01 1.897585e-01
7.500000e-02 -5.866002e-01 2.239696e-01
9.000000e-02 -5.866002e-01 2.562979e-01
1.050000e-01 -5.866002e-01 2.888615e-01
1.200000e-01 -5.866002e-01 3.229645e-01
1.350000e-01 -5.866002e-01 3.587184e-01
1.500000e-01 -5.866002e-01 3.955801e-01
1.650000e-01 -5.866002e-01 4.327489e-01
1.800000e-01 -5.866002e-01 4.694002e-01
1.950000e-01 -5.866002e-01 5.048144e-01
2.100000e-01 -5.866002e-01 5.384353e-01
2.250000e-01 -5.866002e-01 5.698797e-01
