# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=5.000e+12 cm^-2  n=4.756767e+12 cm^-2  dmu=2.033600 eV  inverted
# kx_invA  omega_eV  A_kw
-3.000000e-01 -6.275930e-01 5.412847e-01
-2.850000e-01 -6.275930e-01 5.278408e-01
-2.700000e-01 -6.275930e-01 5.125195e-01
-2.550000e-01 -6.275930e-01 4.952539e-01
-2.400000e-01 -6.275930e-01 4.760036e-01
-2.250000e-01 -6.275930e-01 4.547623e-01
-2.100000e-01 -6.275930e-01 4.315736e-01
-1.950000e-01 -6.275930e-01 4.065582e-01
-1.800000e-01 -6.275930e-01 3.799433e-01
-1.650000e-01 -6.275930e-01 3.520815e-01
-1.500000e-01 -6.275930e-01 3.234446e-01
-1.350000e-01 -6.275930e-01 2.945694e-01
-1.200000e-01 -6.275930e-01 2.659192e-01
-1.050000e-01 -6.275930e-01 2.375889e-01
-9.000000e-02 -6.275930e-01 2.087517e-01
-7.500000e-02 -6.275930e-01 1.772079e-01
-6.000000e-02 -6.275930e-01 1.419389e-01
-4.500000e-02 -6.275930e-01 1.093290e-01
-3.000000e-02 -6.275930e-01 8.721103e-02
-1.500000e-02 -6.275930e-01 7.574488e-02
5.551115e-17 -6.275930e-01 7.229538e-02
1.500000e-02 -6.275930e-01 7.574488e-02
3.000000e-02 -6.275930e-01 8.721103e-02
4.500000e-02 -6.275930e-01 1.093290e-01
6.000000e-02 -6.275930e-01 1.419389e-01
7.500000e-02 -6.275930e-01 1.772079e-01
9.000000e-02 -6.275930e-01 2.087517e-01
1.050000e-01 -6.275930e-01 2.375889e-01
1.200000e-01 -6.275930e-01 2.659192e-01
1.350000e-01 -6.275930e-01 2.945694e-01
1.500000e-01 -6.275930e-01 3.234446e-01
1.650000e-01 -6.275930e-01 3.520815e-01
1.800000e-01 -6.275930e-01 3.799433e-01
1.950000e-01 -6.275930e-01 4.065582e-01
2.100000e-01 -6.275930e-01 4.315736e-01
2.250000e-01 -6.275930e-01 4.547623e-01
2.400000e-01 -6.275930e-01 4.760036e-01
2.550000e-01 -6.275930e-01 4.952539e-01
2.700000e-01 -6.275930e-01 5.125195e-01
2.850000e-01 -6.275930e-01 5.278408e-01
3.000000e-01 -6.275930e-01 5.412847e-01
-3.000000e-01 -6.139287e-01 5.839747e-01
-2.850000e-01 -6.139287e-01 5.689434e-01
-2.700000e-01 -6.139287e-01 5.518377e-01
-2.550000e-01 -6.139287e-01 5.325934e-01
-2.400000e-01 -6.139287e-01 5.111779e-01
-2.250000e-01 -6.139287e-01 4.875986e-01
-2.100000e-01 -6.139287e-01 4.619206e-01
-1.950000e-01 -6.139287e-01 4.342958e-01
-1.800000e-01 -6.139287e-01 4.049948e-01
-1.650000e-01 -6.139287e-01 3.744251e-01
-1.500000e-01 -6.139287e-01 3.431225e-01
-1.350000e-01 -6.139287e-01 3.116904e-01
-1.200000e-01 -6.139287e-01 2.806493e-01
-1.050000e-01 -6.139287e-01 2.501261e-01
-9.000000e-02 -6.139287e-01 2.192757e-01
-7.500000e-02 -6.139287e-01 1.858126e-01
-6.000000e-02 -6.139287e-01 1.486685e-01
-4.500000e-02 -6.139287e-01 1.144611e-01
-3.000000e-02 -6.139287e-01 9.129630e-02
-1.500000e-02 -6.139287e-01 7.929428e-02
5.551115e-17 -6.139287e-01 7.568428e-02
1.500000e-02 -6.139287e-01 7.929428e-02
3.000000e-02 -6.139287e-01 9.129630e-02
4.500000e-02 -6.139287e-01 1.144611e-01
6.000000e-02 -6.139287e-01 1.486685e-01
7.500000e-02 -6.139287e-01 1.858126e-01
9.000000e-02 -6.139287e-01 2.192757e-01
1.050000e-01 -6.139287e-01 2.501261e-01
1.200000e-01 -6.139287e-01 2.806493e-01
1.350000e-01 -6.139287e-01 3.116904e-01
1.500000e-01 -6.139287e-01 3.431225e-01
1.650000e-01 -6.139287e-01 3.744251e-01
1.800000e-01 -6.139287e-01 4.049948e-01
1.950000e-01 -6.139287e-01 4.342958e-01
2.100000e-01 -6.139287e-01 4.619206e-01
2.250000e-01 -6.139287e-01 4.875986e-01
