# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | densities include spin factor SPIN_DEG=2
# dmu_eV  kx_invA  ky_invA  f_v  f_c  absDelta_eV  e_minus_eV  epsr_v_eV  epsr_c_eV
1.971600e+00 1.986655e-01 1.986655e-01 1.000000e+00 4.357091e-22 4.566239e-11 -6.471683e-01 -5.438274e-01 3.615334e+00
1.971600e+00 1.986655e-01 2.136655e-01 1.000000e+00 5.102156e-22 4.852988e-11 -6.428479e-01 -5.395070e-01 3.580578e+00
1.971600e+00 1.986655e-01 2.286655e-01 1.000000e+00 6.063926e-22 5.182781e-11 -6.377806e-01 -5.344397e-01 3.541840e+00
1.971600e+00 1.986655e-01 2.436655e-01 1.000000e+00 7.330628e-22 5.566400e-11 -6.318320e-01 -5.284911e-01 3.499018e+00
1.971600e+00 1.986655e-01 2.586655e-01 1.000000e+00 9.004490e-22 6.007616e-11 -6.248444e-01 -5.215035e-01 3.452136e+00
1.971600e+00 1.986655e-01 2.736655e-01 1.000000e+00 1.122306e-21 6.509439e-11 -6.166372e-01 -5.132963e-01 3.401371e+00
1.971600e+00 1.986655e-01 2.886655e-01 1.000000e+00 1.417633e-21 7.075231e-11 -6.070107e-01 -5.036698e-01 3.347069e+00
1.971600e+00 1.986655e-01 3.036655e-01 1.000000e+00 1.812606e-21 7.708405e-11 -5.957555e-01 -4.924146e-01 3.289745e+00
1.971600e+00 1.986655e-01 3.186655e-01 1.000000e+00 2.342789e-21 8.411400e-11 -5.826716e-01 -4.793307e-01 3.230077e+00
1.971600e+00 1.986655e-01 3.336655e-01 1.000000e+00 3.055372e-21 9.184241e-11 -5.675988e-01 -4.642579e-01 3.168884e+00
1.971600e+00 1.986655e-01 3.486655e-01 1.000000e+00 4.010817e-21 1.002295e-10 -5.504612e-01 -4.471203e-01 3.107108e+00
1.971600e+00 1.986655e-01 3.636655e-01 1.000000e+00 5.282619e-21 1.091808e-10 -5.313222e-01 -4.279813e-01 3.045798e+00
1.971600e+00 1.986655e-01 3.786655e-01 1.000000e+00 6.952944e-21 1.185383e-10 -5.104431e-01 -4.071022e-01 2.986088e+00
1.971600e+00 1.986655e-01 3.936655e-01 1.000000e+00 9.100604e-21 1.280772e-10 -4.883289e-01 -3.849880e-01 2.929181e+00
1.971600e+00 1.986655e-01 4.086655e-01 1.000000e+00 1.177680e-20 1.375103e-10 -4.657454e-01 -3.624045e-01 2.876327e+00
1.971600e+00 1.986655e-01 4.236655e-01 1.000000e+00 1.496498e-20 1.464969e-10 -4.436924e-01 -3.403515e-01 2.828790e+00
1.971600e+00 1.986655e-01 4.386655e-01 1.000000e+00 1.852778e-20 1.546553e-10 -4.233315e-01 -3.199906e-01 2.787805e+00
1.971600e+00 1.986655e-01 4.536655e-01 1.000000e+00 2.215942e-20 1.615822e-10 -4.058757e-01 -3.025348e-01 2.754527e+00
1.971600e+00 1.986655e-01 4.686655e-01 1.000000e+00 2.538295e-20 1.668840e-10 -3.924585e-01 -2.891176e-01 2.729957e+00
1.971600e+00 1.986655e-01 4.836655e-01 1.000000e+00 2.763604e-20 1.702214e-10 -3.840040e-01 -2.806631e-01 2.714881e+00
1.971600e+00 1.986655e-01 4.986655e-01 1.000000e+00 2.844870e-20 1.713616e-10 -3.811158e-01 -2.777749e-01 2.709798e+00
1.971600e+00 1.986655e-01 5.136655e-01 1.000000e+00 2.763604e-20 1.702214e-10 -3.840040e-01 -2.806631e-01 2.714881e+00
1.971600e+00 1.986655e-01 5.286655e-01 1.000000e+00 2.538295e-20 1.668840e-10 -3.924585e-01 -2.891176e-01 2.729957e+00
1.971600e+00 1.986655e-01 5.436655e-01 1.000000e+00 2.215942e-20 1.615822e-10 -4.058757e-01 -3.025348e-01 2.754527e+00
1.971600e+00 1.986655e-01 5.586655e-01 1.000000e+00 1.852778e-20 1.546553e-10 -4.233315e-01 -3.199906e-01 2.787805e+00
1.971600e+00 1.986655e-01 5.736655e-01 1.000000e+00 1.496498e-20 1.464969e-10 -4.436924e-01 -3.403515e-01 2.828790e+00
1.971600e+00 1.986655e-01 5.886655e-01 1.000000e+00 1.177680e-20 1.375103e-10 -4.657454e-01 -3.624045e-01 2.876327e+00
1.971600e+00 1.986655e-01 6.036655e-01 1.000000e+00 9.100604e-21 1.280772e-10 -4.883289e-01 -3.849880e-01 2.929181e+00
1.971600e+00 1.986655e-01 6.186655e-01 1.000000e+00 6.952944e-21 1.185383e-10 -5.104431e-01 -4.071022e-01 2.986088e+00
1.971600e+00 1.986655e-01 6.336655e-01 1.000000e+00 5.282619e-21 1.091808e-10 -5.313222e-01 -4.279813e-01 3.045798e+00
1.971600e+00 1.986655e-01 6.486655e-01 1.000000e+00 4.010817e-21 1.002295e-10 -5.504612e-01 -4.471203e-01 3.107108e+00
1.971600e+00 1.986655e-01 6.636655e-01 1.000000e+00 3.055372e-21 9.184241e-11 -5.675988e-01 -4.642579e-01 3.168884e+00
1.971600e+00 1.986655e-01 6.786655e-01 1.000000e+00 2.342789e-21 8.411400e-11 -5.826716e-01 -4.793307e-01 3.230077e+00
1.971600e+00 1.986655e-01 6.936655e-01 1.000000e+00 1.812606e-21 7.708405e-11 -5.957555e-01 -4.924146e-01 3.289745e+00
1.971600e+00 1.986655e-01 7.086655e-01 1.000000e+00 1.417633e-21 7.075231e-11 -6.070107e-01 -5.036698e-01 3.347069e+00
1.971600e+00 1.986655e-01 7.236655e-01 1.000000e+00 1.122306e-21 6.509439e-11 -6.166372e-01 -5.132963e-01 3.401371e+00
1.971600e+00 1.986655e-01 7.386655e-01 1.000000e+00 9.004490e-22 6.007616e-11 -6.248444e-01 -5.215035e-01 3.452136e+00
1.971600e+00 1.986655e-01 7.536655e-01 1.000000e+00 7.330628e-22 5.566400e-11 -6.318320e-01 -5.284911e-01 3.499018e+00
1.971600e+00 1.986655e-01 7.686655e-01 1.000000e+00 6.063926e-22 5.182781e-11 -6.377806e-01 -5.344397e-01 3.541840e+00
1.971600e+00 1.986655e-01 7.836655e-01 1.000000e+00 5.102156e-22 4.852988e-11 -6.428479e-01 -5.395070e-01 3.580578e+00
1.971600e+00 1.986655e-01 7.986655e-01 1.000000e+00 4.357091e-22 4.566239e-11 -6.471683e-01 -5.438274e-01 3.615334e+00
1.971600e+00 2.136655e-01 1.986655e-01 1.000000e+00 5.102156e-22 4.852988e-11 -6.428479e-01 -5.395070e-01 3.580578e+00
1.971600e+00 2.136655e-01 2.136655e-01 1.000000e+00 5.999607e-22 5.170660e-11 -6.386205e-01 -5.352796e-01 3.547303e+00
1.971600e+00 2.136655e-01 2.286655e-01 1.000000e+00 7.140201e-22 5.528216e-11 -6.336568e-01 -5.303159e-01 3.510138e+00
1.971600e+00 2.136655e-01 2.436655e-01 1.000000e+00 8.631626e-22 5.940031e-11 -6.278222e-01 -5.244813e-01 3.468938e+00
1.971600e+00 2.136655e-01 2.586655e-01 1.000000e+00 1.059434e-21 6.411143e-11 -6.209582e-01 -5.176173e-01 3.423676e+00
1.971600e+00 2.136655e-01 2.736655e-01 1.000000e+00 1.318776e-21 6.944917e-11 -6.128819e-01 -5.095410e-01 3.374472e+00
1.971600e+00 2.136655e-01 2.886655e-01 1.000000e+00 1.663073e-21 7.544736e-11 -6.033893e-01 -5.000484e-01 3.321623e+00
1.971600e+00 2.136655e-01 3.036655e-01 1.000000e+00 2.122427e-21 8.213919e-11 -5.922646e-01 -4.889237e-01 3.265605e+00
1.971600e+00 2.136655e-01 3.186655e-01 1.000000e+00 2.737731e-21 8.954767e-11 -5.792984e-01 -4.759575e-01 3.207071e+00
1.971600e+00 2.136655e-01 3.336655e-01 1.000000e+00 3.563326e-21 9.767108e-11 -5.643189e-01 -4.609780e-01 3.146829e+00
1.971600e+00 2.136655e-01 3.486655e-01 1.000000e+00 4.669018e-21 1.064666e-10 -5.472371e-01 -4.438962e-01 3.085822e+00
1.971600e+00 2.136655e-01 3.636655e-01 1.000000e+00 6.140067e-21 1.158354e-10 -5.281044e-01 -4.247635e-01 3.025110e+00
1.971600e+00 2.136655e-01 3.786655e-01 1.000000e+00 8.072555e-21 1.256134e-10 -5.071736e-01 -4.038327e-01 2.965843e+00
1.971600e+00 2.136655e-01 3.936655e-01 1.000000e+00 1.056002e-20 1.355690e-10 -4.849483e-01 -3.816074e-01 2.909245e+00
1.971600e+00 2.136655e-01 4.086655e-01 1.000000e+00 1.366577e-20 1.454069e-10 -4.622011e-01 -3.588602e-01 2.856589e+00
1.971600e+00 2.136655e-01 4.236655e-01 1.000000e+00 1.737600e-20 1.547768e-10 -4.399477e-01 -3.366068e-01 2.809163e+00
1.971600e+00 2.136655e-01 4.386655e-01 1.000000e+00 2.153623e-20 1.632851e-10 -4.193720e-01 -3.160311e-01 2.768227e+00
1.971600e+00 2.136655e-01 4.536655e-01 1.000000e+00 2.579229e-20 1.705134e-10 -4.017127e-01 -2.983718e-01 2.734957e+00
1.971600e+00 2.136655e-01 4.686655e-01 1.000000e+00 2.958296e-20 1.760499e-10 -3.881286e-01 -2.847877e-01 2.710376e+00
1.971600e+00 2.136655e-01 4.836655e-01 1.000000e+00 3.223951e-20 1.795375e-10 -3.795646e-01 -2.762237e-01 2.695286e+00
