# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# dmu_eV    n_cm2    maxDelta_meV    max_f_c    inverted(1/0)
1.971600 6.472191e-04 2.861219e-06 0.000000 0
1.974100 8.323054e-04 3.223749e-06 0.000000 0
1.976600 1.073183e-03 3.636769e-06 0.000000 0
1.979100 1.543653e-03 4.332879e-06 0.000000 0
1.981600 2.395634e-03 5.361639e-06 0.000000 0
1.984100 4.242557e-03 7.086775e-06 0.000000 0
1.986600 9.428663e-03 1.049224e-05 0.000000 0
1.989100 3.702413e-02 2.064686e-05 0.000000 0
1.991600 1.140568e+07 3.598310e-01 0.000004 0
1.994100 3.086852e+11 5.690944e+01 0.094298 0
1.996600 6.123266e+11 7.717648e+01 0.176065 0
1.999100 9.119759e+11 9.081139e+01 0.247590 0
2.001600 1.207907e+12 1.008930e+02 0.310506 0
2.004100 1.500373e+12 1.086771e+02 0.366133 0
2.006600 1.789606e+12 1.148347e+02 0.415547 0
2.009100 2.075821e+12 1.197776e+02 0.459632 0
2.011600 2.359218e+12 1.237805e+02 0.499120 0
2.014100 2.639982e+12 1.270373e+02 0.534622 1
2.016600 2.918283e+12 1.296909e+02 0.566651 1
2.019100 3.194282e+12 1.318497e+02 0.595639 1
2.021600 3.468128e+12 1.335977e+02 0.621954 1
2.027600 4.117391e+12 1.364892e+02 0.675991 1
2.033600 4.756767e+12 1.380304e+02 0.719745 1
2.039600 5.387744e+12 1.386373e+02 0.755630 1
2.045600 6.011612e+12 1.386345e+02 0.785393 1
2.051600 6.629495e+12 1.384700e+02 0.810326 1
2.057600 7.242389e+12 1.382200e+02 0.831398 1
2.063600 7.851176e+12 1.379538e+02 0.849350 1
2.069600 8.456644e+12 1.376383e+02 0.864754 1
2.075600 9.059493e+12 1.372529e+02 0.878059 1
2.081600 9.660357e+12 1.368788e+02 0.889619 1
2.087600 1.025981e+13 1.365779e+02 0.899719 1
2.093600 1.085839e+13 1.361459e+02 0.908586 1
2.099600 1.145657e+13 1.357896e+02 0.916408 1
2.105600 1.205482e+13 1.353186e+02 0.923337 1
2.111600 1.265355e+13 1.351301e+02 0.929500 1
2.117600 1.325313e+13 1.347551e+02 0.935003 1
2.123600 1.385392e+13 1.342836e+02 0.939932 1
2.129600 1.445627e+13 1.339801e+02 0.944362 1
2.135600 1.506051e+13 1.334958e+02 0.948356 1
2.141600 1.566694e+13 1.334465e+02 0.951966 1
2.147600 1.627587e+13 1.332066e+02 0.955239 1
2.153600 1.688758e+13 1.328496e+02 0.958214 1
2.159600 1.750233e+13 1.324411e+02 0.960925 1
2.165600 1.812039e+13 1.321617e+02 0.963399 1
2.171600 1.874199e+13 1.317515e+02 0.965664 1
2.177600 1.936740e+13 1.318489e+02 0.967741 1
2.183600 1.999688e+13 1.317649e+02 0.969649 1
2.189600 2.063065e+13 1.315163e+02 0.971405 1
2.195600 2.126898e+13 1.312055e+02 0.973024 1
2.201600 2.191209e+13 1.308930e+02 0.974520 1
2.207600 2.256021e+13 1.306460e+02 0.975904 1
2.213600 2.321358e+13 1.305698e+02 0.977186 1
2.219600 2.387242e+13 1.307576e+02 0.978377 1
2.225600 2.453698e+13 1.307754e+02 0.979483 1
2.231600 2.520750e+13 1.306366e+02 0.980512 1
2.237600 2.588423e+13 1.304016e+02 0.981471 1
2.243600 2.656743e+13 1.300944e+02 0.982365 1
2.249600 2.725734e+13 1.299531e+02 0.983201 1
2.255600 2.795421e+13 1.300579e+02 0.983983 1
2.261600 2.865831e+13 1.304102e+02 0.984715 1
2.267600 2.936991e+13 1.305934e+02 0.985401 1
